"Hello, I recently tried to get access to the Windows Insider Program on my Windows 10 computer.",F
"I do have a Microsoft account, which is connected to the Insider Program.",F
"I also logged in with this account on my computer, but when I pressed the button ""First steps"" (the button you click in Settings/Update and Recovery/Windows Insider Program), the Insider program didn't recognise my Microsoft account.",F
"Therefore it showed me ""Cancel"", ""Change account"" and ""Create an account"".",F
"I attempted it already several times, but I always have the same result.",F
"Regards **Moved from: Windows Insider Program / Windows Insider Preview / Install, upgrade, and activate / PC**",F
"Hello,  This issue might be caused by system conflict.",F
"For us to know more, please answer the following:",R
" Hey, thank you for your response.",G
I don't get any errors.,F
"I will attach the screenshot, my Windows runs in German.",F
Translation: Join the Windows Insider Program!,R
"You need an account, which is connected to Windows Inside Program, to get Preview builds.",F
Create an account or switch to an already existing account.,R
"Switch account  So, my problem is that my account is already connected to the PC and it still tells me to log in with it.",F
This should not appear.,F
Thank you for the quick response.,F
We suggest that you check this article to help you with your concern.,F
It contains information on how you can properly install Windows Insider Program on your PC.,F
Let us know how this goes for you.,R
It didn't work.,F
"I already run the latest version of Windows 10, my PC is activated, I do have a Microsoft account.",F
My ONLY problem ist that my PC doesn't regocnise the Microsoft account I use.,F
"If it regonised it I would be able to install the preview builds, but always when I try to enter the Insider program it tells me that I need a Microsoft account, which is connected to my PC.... what i have already done.",F
You could try downloading the latest Windows Insider Preview ISO then try performing a repair upgrade then join the Windows Insider Program:  https://answers.microsoft.com/en-us/insider/wiki/insider_wintp-insider_install/how-to-install-the-latest-windows-10-insider-build/d8c389ae-31c4-42a2-97df-4815d82dd2b6,F
"
"
"Dear Microsoft Team, I have a file server and i need to audit All file transactions for all user (Every One) but i want to exclude one user from auditing because the user is a service account and generate huge number of logs so security log fill very quickly.",F
file server windows 2012 R2  Please advise!,R
Please find below,R
"Hi Danielle,  This issue might be caused by a setting that needs to be changed or managed within your Windows server or your company's SharePoint.",F
"For us to refer you to the right TechNet forum, we would like to know the following:",F
"Hi Christine,  Q1)Is your computer connected to a domain?",R
"Yes, connected to domain.",F
"Q2)Are you developing or maintaining a program, website or server?",R
"Yes, i have a SIEM Solution to Collect log from file server",F
Thank you for the quick response.,F
We suggest posting your concern on the Microsoft TechNet Forums for further assistance regarding your issue.,R
The forum is mostly consists of Professional Technicians who can guide you throughout the whole process of resolving your concern.,F
Let us know if you have other concern.,R
"
"
I upgraded last week with no apparent problems and used Sticky Notes as recently as two nights ago.,F
"Tonight I went to open them to check up on something, and not only is the shortcut missing, Sticky Notes doesn't even appear in the list of programs on this machine.",F
Argh!,F
Help!!!!,R
I have information on those notes I NEED.,R
"Hello,  Thank you for contacting Microsoft Community.",G
"I can understand the inconvenience caused, be assured that we are here to help you with your concern.",F
Method: 1 SFC scan: Method: 2 If the issue persists I would suggest you to put the computer in clean boot state and then check if any third party service is interfering.,F
Please follow the below link to perform clean boot.,R
"http://support.microsoft.com/kb/929135  Note: Reset the computer back to Normal Mode once you are done with the troubleshooting by following the section ""How to reset the computer to start normally after clean boot troubleshooting"" from the same article  Hope it resolves.",R
Please get back to us with required information to assist you further.,R
We are happy to assist you.,F
Thank you.,F
"Hi Jenith,  It's an Acer Aspire 5750-P5WE0, previously running Windows 7 Home Premium.",F
"I do not get any error messages if I open C:\Windows.old\Users, but all of the folders appear to be empty.",F
I am getting an error message on startup: There was a problem starting C:\PROGRA~1\COMMON~1\System\SysMenu.dll The specified module could not be found.,F
I will try the first method and let you know what happens.,F
"Edited to add: results were ""found no integrity issues"".",F
Found the sticky notes data hiding in C:\Users\(my first name)\Roaming\AppData and got a message asking if I wanted to look for an app in the AppStore.,R
Why are we being given references on how to do a clean boot with every OS but windows 10 ?,R
How will an sfc scan or a clean boot help to recover the missing data !,R
"I have found the files, but what am I supposed to use to open them?",R
"There are several different apps of the same name in the Microsoft store and I can't tell which, if any, is the correct one.",F
Sticky Notes can be found under Windows Accessories under All Apps in the Start Menu.,F
Yes!,F
This was the answer!,F
Thank you!,F
Thanks!,F
I checked there initially and it was nowhere to be found.,F
I suspect it was restored in an update.,F
All is well that ends well.,F
stickynotes can't be found there and Microsoft even erased  C:\Users\your user name\AppData\Roaming\Microsoft\Sticky Notes  Where they used to be.,F
I had info I need on them.,R
Horrible for Microsoft to do this to us.,F
You are wrong,F
"All the answers are before 6-10-16, when Microsoft removed sticky notes, are wrong.",F
Microsoft also removed  C:\Users\UserName\AppData\Roaming\Microsoft\Sticky where the used to be.,F
Accept it your Microsoft sticky notes are gone.,R
The apps that Microsoft recommends in the Microsoft store are clumsy.,F
"there is an app ""stickies"" that is similar, but better and backs up notes.",F
THE REMOVAL OF MICROSOFT STICKY NOTES WITHOUT WARNING IS OUTRAGEOUS!,F
|Sockspop,F
I wonder what I have done wrong!,F
I still have Sticky Notes on my system and I am up-to-date with all Windows 10 updates.,F
Nope.,F
"But I did get an error message about the file not being where it used to be, as if I had changed the filename, which I have not.",F
I've been searching for some time for my Sticky Notes.,R
"All that was left after updating Windows was the shortcut, which didn't work in the Start Menu.",F
"I right-clicked on the task bar, and clicked on something like, ""Show Microsoft Ink button"", and a window opened up (apparently apps to use with a pen, which I don't have, nor are familiar with), and THERE was Sticky Notes.",F
"I clicked on that, and now there is a Sticky Notes icon on my task bar, and there was the one Sticky Note I had written on before the update.",F
TOO FREAKIN' WEIRD AND RANDOM.,F
"MICROSOFT - I REALLY HATE IT WHEN YOU UPDATE AND DON'T TELL ANYONE WHAT YOU ARE DOING, OR DON'T EXPLAIN HOW TO FIND WHATEVER YOU MOVE AROUND, OR HOW TO USE NEW THINGS!!!!!!!",F
STOP IT!!!,R
COMMUNICATE WITH YOUR CUSTOMERS LIKE WE ARE REAL PEOPLE WHO USE YOUR PRODUCT!!,F
WE ALL ARE NOT TECHY-NERDS!,F
!,F
Microsoft updated my Windows 10.,F
Now all my Sticky Notes have disappeared.,F
I had multiple ones on my screen which had a bunch of important bits of information.,F
Clicking on Sticky Notes I can bring up and write a new one but I need to bring up all the old ones.,F
How do I do this?,R
I'm 78 without many computer skills.,F
Solutions listed in search do not seem to apply to my situtation,F
I lost my sticky notes (my whole life was on there) when Windows 10 automatically updated to the Anniversary edition.,F
"When I originally upgraded to windows 10, the sticky notes were there.",F
Microsoft wants to charge me to even talk to me.,F
I got no warning about an update to the Anniversary edition.,F
"If I download sticky notes from APPS, do I get my original sticky notes back?",R
And all I could find in the app store looked like it was sticky notes for Windows 8.,F
"HELP Joshua, I'm sorry this happened to you!",F
"I've never used this forum, so I don't know if what I wrote as a Reply will be seen by Microsoft.",F
"It was intended for them, not as a solution for you.....sorry.",F
Did you ever get it fixed?,R
"There will be a new app on your computer called, Windows Ink.",F
Open that up.,R
You should see Sticky Notes at the top.,F
"Click on Sticky Notes, and that should open them up for you.",R
"Hi, my pc did a massive update this morning and I have had the same problem - all sticky notes seem to have vanished.",F
"I was trying to get them back and not succeeding and getting very angry with Microsoft when I discovered that if you delete the single sticky note that is visible on the desktop (click on sticky notes in the bottom task bar to bring it up) and say yes I want to delete, when it goes, the next one comes up - and if you delete that, the one after comes up, and so on -  my sticky notes are all there!!!",F
Phew.,F
"So I opened a new word doc, saved it to documents, and copied or cut all the precious important text from each note then deleted it and carried on until all sticky notes were deleted but nor before I had saved all the info in the aforesaid word doc.",F
I am sure I will use sticky notes again but from now on will ensure I also save the vital info on them in a word doc somewhere!,F
I hope this helps folks.,F
"PS to Microsoft - SHAME ON YOU, Grrr!",F
"Hi Morgan, I just found all my sticky notes, by accident.",G
"If you can still see one of your previous notes, copy the text to somewhere safe then delete the note, the next one of your sticky notes should then appear.",F
They seem to be hiding behind each other and become visible when you delete the one 'in front'.,F
Hopes this works for you.,R
And I totally agree with your comments to Microsoft...,F
"Hi Kyle, Thank you for the info, but I don't even have the sticky note icon in the task bar anymore, and not one sticky note on the desktop.",F
"When I click on Task Manager to see what's running, Sticky Notes are now gone from that menu.",F
Did your last update give you what they call Windows Anniversary edition?,R
That was my last automatic update and is when the sticky notes disappeared.,F
"When I first upgraded to the original Windows 10, they were still there.",F
?????,R
"MICROSOFT, I WANT MY STICKY NOTES BACK!",F
"Hi, I had the same problem.",F
Frustration plus!!,F
I clicked on the task bar itself.,F
The window that came up was a black window.,F
"I saw that ""Show Window's Ink Space Button"" was not checked.",F
I checked that.,F
"The icon appeared on the task bar on the bottom, on the lower right side.",F
I clicked on this new task bar icon.,F
A new window appeared and at the top was sticky note.,F
Click on the sticky notes window.,R
All of your sticky notes appear--and also a ton of ones that you had thought you deleted a long time ago--you have to go one by one and delete these again.,F
The only thing I haven't figured out yet is how to re-size the sticky note.,F
They are quite large.,F
Hope this helps others--I know how frustrating this is.,F
"They are now back on my desktop when I sign in, and the icon for sticky notes is in the task bar where it used to be.",F
"yes, that was a better, more thorough description of what I had suggested earlier - sorry I wasn't more descriptive (I think I must have lost patience with the whole thing).",F
OH THANK YOU SO MUCH I FOUND AGAIN ALL MY NOTES TXTXTXTXTXTXTXTX,F
"Hi, Ian!",G
We had the same problem.,F
"After searching the Internet (which was not helpful) and looking around on the computer, we had an accidental bit of luck.",F
"If you type ""Sticky Notes"" into Cortana where it says ""Ask Me Anything"" on the left in the bottom task bar, ""Sticky Notes"" should show up as the ""Best Match.""",F
"Click that, and all of your sticky notes should appear on your desktop.",R
They will all be behind each other.,F
"So, click on the first and drag it until you reveal all of your notes.",R
"And, just to be safe, save them in a word document, because who knows when Microsoft will choose to be ""helpful"" again.",F
;) Hope this helps!,R
!,F
